Sample ,Cylno,Acrnoym,Rep,Plant,Geno,Species,Genotype,PlantPart,Treatment,Specie_Trt,Origin,TWT ,TE ,TWA ,LastTranspiration ,Concentration,Disarticulted_Phytoliths,Skeleton_Phytoliths,Total_Phytoliths,TotalPhytoliths_50,RatioS/F,TotalRatioS/F,RatioS/F_concentration,RatioS/F_percentage,Trichomes,Saddle,Rondels,Tracheary,Blocky,BulliformFlabellate,BulliformTOT,ElongClavate,ElongSinuate,ElongEntire,ElongDentate,ElongCrenate,ElongateTOT,Stoma,Cross,Bilobate,Polylobate,TriCONCE,SaddleCONCE,RondelsCONCE,TracheCONCE,BlockyCONCE,BulliFlabellateCONCE,BulliTOTCONCE,ClavateCONCE,SinuateCONCE,EntireCONCE,DentateCONCE,CrenateCONCE,ElongateTOTCONCE,StomaCONCE,CrossCONCE,BilobateCONCE,PolylobateCONCE,TriPER,SaddlePER,RondelPER,TrachePER,BlockyPER,BulliFlabPER,ClavPER,SinuPER,EntirePER,DenPER,CrenPER,StomaPER,CrossPER,BiloPER,PolyPER
91,192509,FM7R1WS,1,1,7,FM,IE4456,Leaf,WS,FM_WS,Tanzania,11.08,7.61732852,1,0.63,5.186028652,68,340,408,402,5.964285714,390,5.964285714,5.875,18,40,13,0,0,0,0,15,186,83,19,17,320,14,2,1,0,0.228795382,0.508434182,0.165241109,0,0,0,0,0.190662818,2.364218944,1.055000927,0.241506236,0.216084527,4.067473453,0.177951964,0.025421709,0.012710855,0,4.228855721,9.950248756,3.233830846,0,0,0,3.731343284,46.26865672,19.40298507,4.726368159,4.228855721,3.482587065,0.497512438,0.248756219,0
92,192515,FM7R2WS,2,1,7,FM,IE4456,Leaf,WS,FM_WS,Tanzania,10.85,3.582488479,1,0.45,4.790843163,150,320,470,470,1.435483871,453,1.435483871,1.435483871,14,114,56,3,0,0,0,36,166,40,13,7,262,5,16,0,0,0.142705967,1.162034299,0.570823866,0.03057985,0,0,0,0.3669582,1.692085032,0.407731333,0.132512683,0.071352983,2.670640232,0.050966417,0.163092533,0,0,2.978723404,24.25531915,11.91489362,0.638297872,0,0,7.659574468,35.31914894,8.510638298,2.765957447,1.489361702,1.063829787,3.404255319,0,0
94,191003,PM1R1WW,1,1,1,PM,IP13327,Leaf,WW,PM_WW,Sudan,35.74,6.566592054,27.73,5.99,21.99729409,21,967,988,988,4.356321839,932,4.356321839,4.356321839,23,35,49,0,33,0,33,4,564,85,65,0,718,40,32,58,0,0.512082757,0.77925637,1.090958918,0,0.734727434,0,0.734727434,0.089057871,12.55715979,1.892479755,1.447190401,0,15.98588781,0.890578708,0.712462967,1.291339127,0,2.327935223,3.542510121,4.95951417,0,3.340080972,0,0.4048583,57.08502024,8.603238866,6.578947368,0,4.048582996,3.238866397,5.870445344,0
95,191017,PM1R2WW,2,1,1,PM,IP13327,Leaf,WW,PM_WW,Sudan,31.69,8.184916377,24.63,5.06,10.80074329,32,453,485,485,9.863636364,478,9.863636364,9.863636364,7,2,9,0,0,0,0,12,273,120,15,0,420,14,25,8,0,0.155887017,0.044539148,0.200426164,0,0,0,0,0.267234886,6.079593648,2.672348856,0.334043607,0,9.353220997,0.311774033,0.556739345,0.17815659,0,1.443298969,0.412371134,1.855670103,0,0,0,2.474226804,56.28865979,24.74226804,3.092783505,0,2.886597938,5.154639175,1.649484536,0
97,191508,PM1R1WS,1,1,1,PM,IP13327,Leaf,WS,PM_WS,Sudan,7.91,5.600505689,0,1.76,30.07434498,13,823,836,824,4.258278146,794,4.258278146,4.178807947,41,3,9,1,0,0,0,134,381,67,43,12,637,6,123,13,3,1.474937971,0.107922291,0.323766872,0.035974097,0,0,0,4.82052898,13.70613091,2.41026449,1.546886165,0.431689162,22.9154997,0.215844581,4.424813914,0.467663259,0.107922291,4.975728155,0.36407767,1.09223301,0.121359223,0,0,14.80582524,46.23786408,8.131067961,5.218446602,1.45631068,0.72815534,14.92718447,1.577669903,0.36407767
98,191518,PM1R2WS,2,1,1,PM,IP13327,Leaf,WS,PM_WS,Sudan,7.6,17.10526316,0,0.26,3.473180035,39,305,344,344,3.970588235,338,3.970588235,3.970588235,6,1,8,0,0,0,0,32,151,53,25,0,261,9,46,13,0,0.060578722,0.010096454,0.080771629,0,0,0,0,0.323086515,1.524564492,0.53511204,0.25241134,0,2.635174387,0.090868082,0.464436865,0.131253897,0,1.744186047,0.290697674,2.325581395,0,0,0,9.302325581,43.89534884,15.40697674,7.26744186,0,2.61627907,13.37209302,3.779069767,0
100,191009,PM5R1WW,1,1,5,PM,IP2367,Leaf,WW,PM_WW,Ethiopia,18.36,10.99945534,16.75,NA,10.75183769,7,639,646,646,7.968253968,565,7.968253968,7.968253968,54,4,3,1,26,0,26,10,231,184,16,45,486,16,24,26,6,0.898760426,0.066574846,0.049931135,0.016643712,0.432736502,0,0.432736502,0.166437116,3.84469738,3.062442935,0.266299386,0.748967022,8.088843838,0.266299386,0.399449078,0.432736502,0.09986227,8.359133127,0.619195046,0.464396285,0.154798762,4.024767802,0,1.547987616,35.75851393,28.48297214,2.476780186,6.965944272,2.476780186,3.715170279,4.024767802,0.92879257
101,191015,PM5R2WW,2,1,5,PM,IP2367,Leaf,WW,PM_WW,Ethiopia,13.02,8.279569892,11.85,NA,14.90010047,11,507,518,518,11.34146341,506,11.34146341,11.34146341,12,0,0,0,0,0,0,28,263,91,69,7,458,7,34,7,0,0.345176073,0,0,0,0,0,0,0.805410836,7.565108925,2.617585218,1.984762418,0.201352709,13.17422011,0.201352709,0.977998872,0.201352709,0,2.316602317,0,0,0,0,0,5.405405405,50.77220077,17.56756757,13.32046332,1.351351351,1.351351351,6.563706564,1.351351351,0
103,191505,PM5R1WS,1,1,5,PM,IP2367,Leaf,WS,PM_WS,Ethiopia,10.15,6.206896552,0,0.9,4.688111684,38,286,324,324,1.953271028,316,1.953271028,1.953271028,6,2,0,1,1,0,1,26,88,85,6,0,205,4,56,40,9,0.086816883,0.028938961,0,0.014469481,0.014469481,0,0.014469481,0.376206493,1.273314284,1.229905843,0.086816883,0,2.966243503,0.057877922,0.810290908,0.57877922,0.130225325,1.851851852,0.617283951,0,0.308641975,0.308641975,0,8.024691358,27.16049383,26.2345679,1.851851852,0,1.234567901,17.28395062,12.34567901,2.777777778
104,191513,PM5R2WS,2,1,5,PM,IP2367,Leaf,WS,PM_WS,Ethiopia,7.03,4.836415363,0,NA,11.41004742,62,469,531,528,2.545454545,507,2.545454545,2.6,21,0,8,0,2,1,3,0,240,78,41,0,359,5,99,33,3,0.451244813,0,0.171902786,0,0.042975697,0.021487848,0.064463545,0,5.15708358,1.676052164,0.881001778,0,7.714137522,0.107439241,2.127296977,0.709098992,0.064463545,3.977272727,0,1.515151515,0,0.378787879,0.189393939,0,45.45454545,14.77272727,7.765151515,0,0.946969697,18.18181818,6.25,0.568181818
